Country,InvoiceDate,TotalPrice
Germany,2010-03,16698.08
Germany,2010-04,23683.231
Germany,2010-05,9108.36
Germany,2010-06,15678.630000000001
Germany,2010-07,20274.29
Germany,2010-08,9943.119999999999
Germany,2010-09,17740.18
Germany,2010-10,21561.63
Germany,2010-11,30240.51
Germany,2010-12,20925.22
Germany,2011-01,16910.84
Germany,2011-02,9581.05
Germany,2011-03,14392.69
Germany,2011-04,12315.54
Germany,2011-05,25751.2
Germany,2011-06,13274.1
Germany,2011-07,16440.98
Germany,2011-08,19220.77
Germany,2011-09,18091.22
Germany,2011-10,31638.42
Germany,2011-11,28025.02
Germany,2011-12,7984.17
Greece,2009-12,610.95
Greece,2010-01,4798.35
Greece,2010-03,522.73
Greece,2010-04,277.93
Greece,2010-05,2476.22
Greece,2010-06,302.4
Greece,2010-08,721.7099999999999
Greece,2010-09,780.06
Greece,2010-10,3084.02
Greece,2010-11,761.3
Greece,2011-01,2661.24
Greece,2011-03,387.31
Greece,2011-04,609.74
Greece,2011-07,421.24
Greece,2011-12,680.99
Iceland,2010-10,611.53
Iceland,2010-12,1423.58
Iceland,2011-01,475.39
Iceland,2011-04,636.25
Iceland,2011-06,382.52
Iceland,2011-08,584.9100000000001
Iceland,2011-10,1294.32
Iceland,2011-12,224.82
Israel,2010-07,1950.98
Israel,2010-11,1248.42
Israel,2011-02,779.1
Israel,2011-07,1430.75
Israel,2011-08,4873.8099999999995
Israel,2011-10,138.03
Italy,2009-12,422.35
Italy,2010-01,39.67
Italy,2010-03,734.22
Italy,2010-04,1525.85
Italy,2010-05,2374.7
Italy,2010-06,267.45
Italy,2010-09,1380.56
Italy,2010-10,5221.42
Italy,2010-11,2673.16
Italy,2010-12,1239.3
Italy,2011-01,2402.51
Italy,2011-02,256.0
Italy,2011-03,1806.81
Italy,2011-04,737.8299999999999
Italy,2011-05,587.45
Italy,2011-06,202.07
Italy,2011-07,147.1
Italy,2011-08,1990.95
Italy,2011-09,279.8
Italy,2011-10,3489.69
Italy,2011-11,4571.08
Italy,2011-12,200.45000000000002
Japan,2010-01,2.95
Japan,2010-02,193.72
Japan,2010-03,110.4
Japan,2010-06,594.68
Japan,2010-07,1253.3
Japan,2010-09,1895.0
Japan,2010-10,1533.8899999999999
Japan,2010-11,23.6
Japan,2010-12,11819.55
Japan,2011-02,5780.8099999999995
Japan,2011-03,48.9
Japan,2011-04,6548.5
Japan,2011-05,1351.45
Japan,2011-06,1607.04
Japan,2011-07,3854.4
Japan,2011-09,112.07999999999998
Japan,2011-10,1948.0400000000002
Japan,2011-11,8460.08
Korea,2010-09,168.69000000000003
Korea,2010-11,949.82
Lebanon,2011-01,1693.88
Lithuania,2010-07,1706.23
Lithuania,2010-11,1525.39
Lithuania,2010-12,3322.12
Malta,2010-02,1636.38
Malta,2010-08,3737.12
Malta,2011-06,863.16
Malta,2011-08,1119.0
Malta,2011-11,743.43
Netherlands,2009-12,15204.73
Netherlands,2010-01,29230.77
Netherlands,2010-02,17255.39
Netherlands,2010-03,24447.98
Netherlands,2010-04,6888.78
Netherlands,2010-05,22416.53
Netherlands,2010-06,24224.51
Netherlands,2010-07,5534.29
Netherlands,2010-08,25028.69
Netherlands,2010-09,45037.14
Netherlands,2010-10,17265.85
Netherlands,2010-11,36058.74
Netherlands,2010-12,8977.08
Netherlands,2011-01,26611.16
Netherlands,2011-02,23011.91
Netherlands,2011-03,22416.489999999998
Netherlands,2011-04,2976.56
Netherlands,2011-05,29185.88
Netherlands,2011-06,26858.09
Netherlands,2011-07,26.02
Netherlands,2011-08,40327.81
Netherlands,2011-09,26937.26
Netherlands,2011-10,40708.65
Netherlands,2011-11,25874.01
Netherlands,2011-12,11728.02
Nigeria,2010-01,27.82
Nigeria,2010-08,112.57000000000001
Norway,2009-12,485.31
Norway,2010-03,13916.34
Norway,2010-08,152.4
Norway,2010-09,973.69
Norway,2010-11,4629.32
Norway,2010-12,7574.24
Norway,2011-02,630.9
Norway,2011-03,1265.31
Norway,2011-06,5886.860000000001
Norway,2011-07,890.0699999999999
Norway,2011-08,2025.81
Norway,2011-09,8678.94
Norway,2011-10,3687.23
Norway,2011-11,6527.5
Norway,2011-12,2785.7000000000003
Poland,2009-12,371.82
Poland,2010-03,318.86
Poland,2010-06,556.16
Poland,2010-07,374.75
Poland,2010-08,527.4399999999999
Poland,2010-09,349.47
Poland,2010-11,821.14
Poland,2010-12,496.32
Poland,2011-01,613.22
Poland,2011-02,604.05
Poland,2011-03,317.78
Poland,2011-04,705.8399999999999
Poland,2011-05,1522.37
Poland,2011-06,343.65000000000003
Poland,2011-07,687.3
Poland,2011-08,401.8
Poland,2011-09,529.25
Poland,2011-11,1361.23
Portugal,2009-12,2821.58
Portugal,2010-01,117.72
Portugal,2010-02,458.83000000000004
Portugal,2010-03,2519.05
Portugal,2010-04,85.53999999999999
Portugal,2010-05,757.2
Portugal,2010-06,3668.46
Portugal,2010-07,288.1
Portugal,2010-08,463.21999999999997
Portugal,2010-09,2964.58
Portugal,2010-10,2978.23
Portugal,2010-11,5058.38
Portugal,2010-12,4104.49
Portugal,2011-01,4055.71
Portugal,2011-02,1213.9
Portugal,2011-03,2660.85
Portugal,2011-04,1687.75
Portugal,2011-05,4202.2300000000005
Portugal,2011-06,884.46
Portugal,2011-07,2287.85
Portugal,2011-08,1221.4
Portugal,2011-09,1433.22
Portugal,2011-10,5899.46
Portugal,2011-11,2644.9
Portugal,2011-12,2808.19
RSA,2010-02,931.43
RSA,2011-10,1002.3100000000001
Saudi Arabia,2011-02,145.92
Singapore,2010-04,1252.95
Singapore,2010-09,2784.82
Singapore,2011-01,2053.07
Singapore,2011-04,8209.58
Singapore,2011-07,3949.32
Singapore,2011-10,7067.32
Spain,2009-12,7950.18
Spain,2010-01,4181.24
Spain,2010-02,554.04
Spain,2010-03,1680.52
Spain,2010-04,833.98
Spain,2010-05,2854.58
Spain,2010-06,2332.2
Spain,2010-07,1134.81
Spain,2010-08,1299.99
Spain,2010-09,3770.45
Spain,2010-10,14088.5
Spain,2010-11,6126.21
Spain,2010-12,2638.45
Spain,2011-01,10086.09
Spain,2011-02,2114.5
Spain,2011-03,5363.15
Spain,2011-04,1785.65
Spain,2011-05,3257.6
Spain,2011-06,3333.21
Spain,2011-07,7624.92
Spain,2011-08,3346.91
Spain,2011-09,5189.24
Spain,2011-10,8636.94
Spain,2011-11,8678.96
Spain,2011-12,316.21
Sweden,2009-12,285.29999999999995
Sweden,2010-01,1680.15
Sweden,2010-02,8202.58
Sweden,2010-03,1337.58
Sweden,2010-04,17698.12
Sweden,2010-05,3556.7599999999998
Sweden,2010-06,914.3000000000001
Sweden,2010-07,2590.78
Sweden,2010-08,2702.94
Sweden,2010-09,2899.56
Sweden,2010-10,9369.41
Sweden,2010-11,1933.91
Sweden,2010-12,3834.2999999999997
Sweden,2011-01,3486.32
Sweden,2011-02,509.5
Sweden,2011-03,4720.58
Sweden,2011-04,809.1
Sweden,2011-05,2681.98
Sweden,2011-06,832.0
Sweden,2011-07,6802.09
Sweden,2011-08,1400.8600000000001
Sweden,2011-09,4575.21
Sweden,2011-10,5766.16
Sweden,2011-11,2722.23
Sweden,2011-12,238.0
Switzerland,2009-12,589.4
Switzerland,2010-02,477.68
Switzerland,2010-03,951.62
Switzerland,2010-04,1939.76
Switzerland,2010-05,9825.16
Switzerland,2010-06,2362.47
Switzerland,2010-07,743.99
Switzerland,2010-08,2053.05
Switzerland,2010-09,2474.44
Switzerland,2010-10,8629.69
Switzerland,2010-11,13570.73
Switzerland,2010-12,1608.32
Switzerland,2011-01,4231.23
Switzerland,2011-02,2654.92
Switzerland,2011-03,1870.23
Switzerland,2011-04,2076.94
Switzerland,2011-05,3610.0099999999998
Switzerland,2011-06,7904.15
Switzerland,2011-07,3762.65
Switzerland,2011-08,4969.89
Switzerland,2011-09,8284.86
Switzerland,2011-10,7655.19
Switzerland,2011-11,8118.96
Thailand,2010-06,1956.84
Thailand,2010-07,1113.7
USA,2009-12,141.0
USA,2010-01,2289.59
USA,2010-05,416.31
USA,2010-06,896.0699999999999
USA,2010-07,508.1
USA,2010-10,132.8
USA,2010-11,402.59999999999997
USA,2011-04,383.95
USA,2011-10,2311.2
USA,2011-12,885.24
United Arab Emirates,2009-12,517.7
United Arab Emirates,2010-02,1310.3000000000002
United Arab Emirates,2010-03,1201.52
United Arab Emirates,2010-08,2047.28
United Arab Emirates,2010-10,509.92
United Arab Emirates,2010-11,1713.69
United Arab Emirates,2011-02,889.24
United Arab Emirates,2011-09,1013.04
United Kingdom,2009-12,613214.9
United Kingdom,2010-01,416635.242
United Kingdom,2010-02,411077.936
United Kingdom,2010-03,589725.011
United Kingdom,2010-04,503425.741
United Kingdom,2010-05,503483.12
United Kingdom,2010-06,541357.86
United Kingdom,2010-07,504239.92
United Kingdom,2010-08,508488.09
United Kingdom,2010-09,681585.771
United Kingdom,2010-10,879189.45
United Kingdom,2010-11,983677.132
United Kingdom,2010-12,777317.64
United Kingdom,2011-01,442190.06
United Kingdom,2011-02,355655.63
United Kingdom,2011-03,467198.59
United Kingdom,2011-04,409559.141
United Kingdom,2011-05,551568.82
United Kingdom,2011-06,524915.48
United Kingdom,2011-07,485612.251
United Kingdom,2011-08,498453.32
United Kingdom,2011-09,796780.272
United Kingdom,2011-10,824766.22
United Kingdom,2011-11,980645.75
United Kingdom,2011-12,472384.17000000004
Unspecified,2010-01,1035.1
Unspecified,2010-04,252.51999999999998
Unspecified,2010-07,2379.88
Unspecified,2010-09,1978.15
Unspecified,2010-11,300.93
Unspecified,2011-04,299.1
Unspecified,2011-05,852.68
Unspecified,2011-06,185.78
Unspecified,2011-07,798.48
Unspecified,2011-08,531.03
West Indies,2010-08,536.41
